,truevtxX,truevtxY,truevtxZ,recovtxX,recovtxY,recovtxZ,Gridpoint,Predicted_Gridpoint,Reco_Gridpoint,DR,vtx_x,vtx_y,vtx_z,DR_reco,DR_DNN
20,-54.285,-10.787,-15.559,-55.340,-12.067,-17.851,14919.000,14072.467,14919.000,2.830,-60,-20,-20,2.829,11.716
21,67.353,37.323,-62.187,72.245,39.475,-55.757,9081.000,11159.709,10282.000,8.361,60,30,-70,8.361,12.990
22,1.519,-15.517,-8.383,-5.451,-11.231,-0.925,16125.000,13657.900,16124.000,11.071,0,-20,-10,11.071,5.002
23,82.429,-24.553,-17.188,48.362,-22.036,-20.307,14903.000,14830.711,13699.000,34.302,80,-30,-20,34.302,6.594
24,-76.251,37.137,-50.922,-72.114,35.184,-46.489,10267.000,9893.427,11467.000,6.370,-80,30,-60,6.370,12.141
25,60.796,26.861,-62.409,76.002,29.876,-46.246,9051.000,13818.423,11452.000,22.396,60,20,-70,22.395,10.263
26,13.993,14.912,-78.936,18.521,6.626,-73.466,7816.000,7525.490,7786.000,10.912,10,10,-80,10.912,6.419
27,63.542,-13.936,-57.941,76.303,-10.156,-29.586,10131.000,10167.956,13732.000,31.324,60,-20,-60,31.323,7.318
28,-34.404,-21.750,-68.097,-58.124,-34.049,-98.510,8891.000,9910.542,5259.000,40.483,-40,-30,-70,40.483,10.149
29,-9.514,-0.330,-3.890,-30.887,-34.022,65.476,16154.000,15936.663,24461.000,80.023,-10,-10,-10,80.022,11.449
30,-28.482,-17.515,-4.709,-30.475,-28.954,2.172,16122.000,16417.102,17291.000,13.497,-30,-20,-10,13.497,6.039
31,-25.522,14.640,-68.564,-68.112,16.019,32.323,9012.000,10013.551,21008.000,109.517,-30,10,-70,109.517,6.606
32,56.404,-45.764,-39.039,69.230,-44.620,-31.112,12440.000,12432.423,12441.000,15.121,50,-50,-40,15.121,7.738
33,-78.119,-17.996,-42.042,-85.445,-27.176,-36.887,11317.000,10990.147,12486.000,12.827,-80,-20,-50,12.826,8.419
34,32.777,5.434,-63.132,41.127,7.065,-58.095,8988.000,9906.279,10189.000,9.887,30,0,-70,9.887,9.187
35,-21.389,17.369,-23.188,-24.905,14.455,-17.299,13812.000,14154.691,15012.000,7.452,-30,10,-30,7.452,13.223
36,-1.615,-11.349,-5.231,0.763,-18.000,13.585,16124.000,16431.285,18525.000,20.098,-10,-20,-10,20.098,12.957
37,61.263,5.345,-37.962,67.047,-0.407,-48.776,12591.000,11526.855,11361.000,13.545,60,0,-40,13.546,5.858
38,-69.237,-24.441,-5.462,-67.876,-11.603,-1.540,16088.000,15286.573,16118.000,13.493,-70,-30,-10,13.493,7.217
39,-38.600,23.532,-5.529,-44.332,26.769,-4.309,16241.000,17153.285,16240.000,6.695,-40,20,-10,6.695,5.867
40,25.410,20.621,-47.223,21.110,27.537,-34.408,11447.000,11428.726,12647.000,15.184,20,20,-50,15.184,6.113
41,81.287,-2.218,-24.848,84.467,-2.969,-17.062,13763.000,13583.878,14963.000,8.443,80,-10,-30,8.444,9.421
42,-66.223,1.194,-40.754,-69.573,0.125,-31.778,11378.000,10965.771,12578.000,9.640,-70,0,-50,9.640,10.059
43,6.209,46.747,-49.958,5.530,37.293,-56.467,11505.000,11459.028,10275.000,11.498,0,40,-50,11.498,9.169
44,-57.106,-48.417,-19.997,-68.506,-50.312,-22.445,14829.000,13124.058,13598.000,11.813,-60,-50,-20,11.813,3.299
45,-62.732,28.253,-77.418,-70.639,20.727,-78.159,7838.000,8997.228,7837.000,10.941,-70,20,-80,10.941,11.296
46,-53.197,44.244,-63.980,-58.696,45.133,-55.820,9099.000,8812.510,10299.000,9.881,-60,40,-70,9.880,10.027
47,-68.617,-18.970,-0.920,-71.089,-22.708,-7.116,16118.000,14288.812,16087.000,7.647,-70,-20,-10,7.647,9.242
48,87.832,-20.533,-6.462,93.286,-22.022,-11.030,16103.000,16494.309,14904.000,7.268,80,-30,-10,7.268,12.786
49,-52.095,-47.443,-13.889,-36.127,-42.663,-13.609,14829.000,11665.909,14831.000,16.670,-60,-50,-20,16.670,10.314
50,-55.380,-26.675,-42.610,-66.347,-30.934,-55.666,11289.000,10377.706,10058.000,17.575,-60,-30,-50,17.575,9.328
51,-54.035,29.576,-68.153,-54.582,23.379,-60.026,9039.000,10661.972,9039.000,10.235,-60,20,-70,10.235,11.432
52,-11.757,-14.885,-14.305,-8.939,-19.206,-9.877,14923.000,16473.629,16124.000,6.798,-20,-20,-20,6.798,11.249
53,-3.561,-19.517,-51.652,-1.295,-39.272,-54.594,10124.000,12242.649,10064.000,20.101,-10,-20,-60,20.101,10.554
54,74.581,32.490,-61.943,83.342,36.040,-17.321,9082.000,10830.470,15083.000,45.612,70,30,-70,45.612,9.597
55,-70.131,24.699,-75.081,-61.229,33.864,-82.633,7837.000,8485.312,6668.000,14.843,-80,20,-80,14.842,11.986
56,-85.736,19.363,-72.888,-98.761,11.318,61.955,7806.000,10295.904,24605.000,135.710,-90,10,-80,135.709,12.507
57,12.803,26.952,-8.035,23.527,24.003,3.647,16246.000,14126.321,17447.000,16.130,10,20,-10,16.130,7.749
58,-52.056,28.540,-68.224,-99.606,-13.858,-21.405,9039.000,8709.425,13715.000,79.060,-60,20,-70,79.061,11.798
59,-11.971,13.724,-73.210,-22.096,16.927,-85.626,7813.000,10110.344,6612.000,16.339,-20,10,-80,16.338,11.155
60,-37.697,24.951,-48.340,-40.320,19.047,-51.423,11441.000,11279.979,10210.000,7.158,-40,20,-50,7.158,5.707
61,33.326,-18.122,-59.601,34.608,-12.870,-61.532,10128.000,11586.703,8928.000,5.741,30,-20,-60,5.741,3.840
62,43.959,-41.567,-60.041,44.770,-34.735,-57.936,8839.000,9770.439,10069.000,7.195,40,-50,-70,7.195,13.637
63,36.969,-37.451,-51.591,31.201,-32.223,-52.535,10068.000,10474.957,10068.000,7.842,30,-40,-60,7.842,11.215
64,-19.029,-37.475,-43.276,-25.036,-39.572,-25.375,11263.000,13013.714,13662.000,18.998,-20,-40,-50,18.998,7.248
65,-39.267,9.466,-34.635,-35.480,12.315,-43.362,12581.000,11055.524,11411.000,9.931,-40,0,-40,9.931,10.905
66,23.274,-13.723,-10.158,21.581,-6.181,-31.368,14927.000,16247.987,12557.000,22.574,20,-20,-20,22.575,12.124
67,-44.484,-34.246,-65.839,-50.578,-35.924,-62.264,8860.000,10062.958,8859.000,7.262,-50,-40,-70,7.262,8.992
68,-80.078,33.204,-0.682,-81.647,28.531,11.235,16266.000,14449.205,18636.000,12.896,-90,30,-10,12.896,13.983
69,-74.992,36.191,-8.595,-74.180,33.745,1.481,16267.000,15757.991,17467.000,10.401,-80,30,-10,10.400,8.086
70,53.070,-15.293,-29.093,40.457,-23.650,-32.680,13730.000,12193.124,12499.000,15.550,50,-20,-30,15.550,5.692
71,82.798,10.655,-50.411,92.313,13.953,-49.549,10223.000,11040.331,11424.000,10.107,80,10,-60,10.107,10.010
72,25.064,11.706,-45.841,27.700,14.078,-54.480,11417.000,12183.227,10217.000,9.339,20,10,-50,9.338,6.771
73,-51.299,17.747,-13.509,-69.239,18.446,-14.341,15009.000,16740.666,15008.000,17.973,-60,10,-20,17.973,13.336
74,40.413,-18.222,-43.089,39.463,-15.329,-45.579,11329.000,12312.837,11328.000,3.933,40,-20,-50,3.933,7.148
75,12.004,42.729,-56.087,10.571,52.742,-47.605,10306.000,11063.791,11536.000,13.201,10,40,-60,13.201,5.174
76,-72.518,15.743,-0.499,-64.275,16.285,0.616,16207.000,13720.175,17408.000,8.336,-80,10,-10,8.336,13.388
77,49.020,-38.088,-32.302,81.654,-35.899,41.356,12469.000,14497.912,22073.000,80.593,40,-40,-40,80.593,12.011
78,46.055,46.122,-78.232,52.678,45.205,-84.780,7909.000,9675.830,6710.000,9.359,40,40,-80,9.358,8.790
79,-30.241,-11.590,-9.563,-29.956,-5.585,1.952,16121.000,15067.869,17352.000,12.990,-40,-20,-10,12.990,12.890
80,59.643,47.982,-22.539,42.904,27.490,-85.788,13910.000,14771.566,6649.000,68.561,50,40,-30,68.561,14.573
81,28.973,-15.653,-1.347,33.091,-26.326,-10.902,16127.000,16639.023,14898.000,14.905,20,-20,-10,14.905,13.202
82,-3.304,47.899,-78.775,2.875,47.560,-69.073,7904.000,6395.125,9105.000,11.507,-10,40,-80,11.508,10.427
83,-61.068,18.283,-42.670,-61.278,10.331,-26.922,11408.000,12146.282,13808.000,17.642,-70,10,-50,17.643,14.217
84,9.270,-12.952,-49.864,19.472,-10.562,-44.938,11325.000,10891.840,11326.000,11.578,0,-20,-50,11.578,11.646
85,81.064,6.398,-47.901,87.799,8.988,5.675,11393.000,13090.064,17393.000,54.059,80,0,-50,54.060,6.817
86,-27.474,-13.460,-44.566,-28.089,-21.436,-36.028,11322.000,12540.279,12492.000,11.699,-30,-20,-50,11.700,8.870
87,64.251,-44.209,-49.971,68.626,-53.788,-55.352,11241.000,10823.762,10011.000,11.826,60,-50,-50,11.826,7.184
88,-72.419,-11.857,-19.816,-48.663,-20.772,0.912,14917.000,14858.814,17290.000,32.764,-80,-20,-20,32.764,11.127
89,-56.297,21.307,-1.537,-55.020,19.058,9.821,16239.000,15161.284,17409.000,11.648,-60,20,-10,11.649,9.330
90,49.235,33.763,-18.605,57.731,33.391,-13.883,15079.000,16088.444,15080.000,9.727,40,30,-20,9.727,10.069
91,-86.114,8.000,-68.052,-121.630,16.311,26.879,8976.000,10685.194,19802.000,101.697,-90,0,-70,101.697,9.105
92,68.010,-47.857,-77.198,78.612,-50.948,-72.839,7641.000,7971.615,7612.000,11.873,60,-50,-80,11.873,8.752
93,-68.131,27.251,-8.004,-75.933,19.291,-17.309,16238.000,13464.264,15007.000,14.520,-70,20,-10,14.519,7.749
94,0.706,-36.521,-14.736,4.952,-38.675,-14.133,14865.000,15246.296,14865.000,4.799,0,-40,-20,4.799,6.349
95,-65.553,17.883,-45.799,-73.514,8.093,-43.433,11408.000,10833.114,11377.000,12.838,-70,10,-50,12.838,9.978
96,76.667,-27.658,-71.689,86.879,-41.927,-74.019,7702.000,8035.593,7643.000,17.701,70,-30,-80,17.701,10.909
97,-7.115,-46.965,-30.344,-4.439,-46.472,-23.391,12434.000,15263.211,13634.000,7.466,-10,-50,-40,7.466,10.525
98,-65.875,11.682,-52.020,-73.901,8.506,-52.341,10208.000,10378.411,10177.000,8.638,-70,10,-60,8.638,9.139
99,67.031,48.450,-5.006,77.012,55.286,-24.162,16311.000,15389.810,13942.000,22.656,60,40,-10,22.656,12.074
100,88.210,-17.811,-33.472,71.168,6.253,-12.883,12533.000,11518.165,14992.000,35.964,80,-20,-40,35.964,10.715
101,-35.195,-14.083,-46.400,-33.863,-9.249,-45.399,11321.000,11540.874,11351.000,5.113,-40,-20,-50,5.113,8.430
102,-6.356,26.998,-2.794,-1.391,20.233,-6.084,16244.000,15952.030,16244.000,9.014,-10,20,-10,9.013,10.685
103,-24.297,43.033,-35.741,-46.512,49.688,-65.578,12702.000,13697.751,9100.000,37.790,-30,40,-40,37.789,7.737
104,-13.496,-22.459,-27.030,-9.904,-24.374,-24.702,13693.000,14385.247,13694.000,4.689,-20,-30,-30,4.689,10.392
105,-42.062,8.426,-44.650,-44.392,4.800,-49.730,11380.000,12828.941,11380.000,6.661,-50,0,-50,6.662,12.753
106,36.516,28.994,-33.014,44.864,34.908,-55.173,12648.000,12983.289,10279.000,24.407,30,20,-40,24.407,13.121
107,68.707,-49.530,-12.569,69.485,-44.511,-7.980,14841.000,13734.055,16041.000,6.845,60,-50,-20,6.845,11.457
108,17.735,-20.596,-25.110,16.057,-18.059,-30.647,13696.000,13162.458,12526.000,6.318,10,-30,-30,6.317,13.122
109,-56.449,-3.237,-20.071,-58.434,-10.701,-20.307,13749.000,15138.236,13719.000,7.727,-60,-10,-30,7.727,12.527
110,0.657,-11.684,-41.172,2.867,-12.472,-35.962,11325.000,13731.267,12525.000,5.714,0,-20,-50,5.714,12.146
111,30.152,48.115,-30.747,33.671,55.391,-24.169,12708.000,11984.063,13938.000,10.420,30,40,-40,10.421,12.308
112,64.559,31.732,-52.615,77.709,34.475,-36.569,10281.000,10972.952,12682.000,20.927,60,30,-60,20.927,8.850
113,-41.223,26.471,-18.871,-48.977,38.306,-17.692,15040.000,14809.532,15070.000,14.198,-50,20,-20,14.198,10.963
114,-83.075,-5.905,-39.550,-82.861,4.788,-33.556,12546.000,12643.328,12576.000,12.260,-90,-10,-40,12.260,8.058
115,94.151,1.252,-61.023,99.162,-24.028,-60.940,8994.000,11751.023,8904.000,25.772,90,0,-70,25.772,9.969
116,-13.628,47.055,-47.080,-14.845,44.760,-48.938,11503.000,13105.770,11503.000,3.194,-20,40,-50,3.194,9.945
117,21.268,15.021,-21.827,24.051,20.835,-11.661,13817.000,14176.796,15047.000,12.038,20,10,-30,12.037,9.676
118,24.782,18.438,-43.568,29.218,17.911,-43.279,11417.000,14560.944,11417.000,4.477,20,10,-50,4.477,11.638
119,-71.866,35.836,-28.935,-84.915,33.615,-50.839,13867.000,10235.037,10266.000,25.593,-80,30,-30,25.593,10.068
120,-82.821,13.482,-34.536,-73.810,-8.334,-46.435,12606.000,12164.955,11347.000,26.434,-90,10,-40,26.433,9.670
121,92.428,22.303,-22.278,110.855,132.082,-67.698,13854.000,13639.795,9386.000,120.225,90,20,-30,120.225,8.416
122,-54.855,29.385,-63.751,-59.393,49.261,-64.716,9039.000,10149.409,9099.000,20.411,-60,20,-70,20.410,12.394
123,-84.509,35.429,-57.805,-80.663,33.199,-57.302,10266.000,9468.693,10266.000,4.473,-90,30,-60,4.474,8.028
124,-56.355,-26.188,-15.211,-49.588,-38.010,-16.940,14889.000,14934.137,14860.000,13.731,-60,-30,-20,13.731,7.124
125,-92.708,-19.127,-7.103,-89.989,-29.923,-18.899,16115.000,14617.094,14886.000,16.221,-100,-20,-10,16.220,7.895
126,-89.416,25.750,-39.993,-95.921,22.544,74.289,12636.000,14361.382,25835.000,114.512,-90,20,-40,114.512,5.780
127,90.413,35.526,-10.476,94.096,52.709,-6.902,15084.000,12303.875,16344.000,17.933,90,30,-20,17.933,11.019
128,-74.389,-30.377,-49.157,-92.927,-21.163,-31.309,11257.000,12015.976,12485.000,27.334,-80,-40,-50,27.333,11.171
129,-26.440,1.208,-22.715,-30.249,1.190,-18.153,13782.000,14236.542,14981.000,5.944,-30,0,-30,5.943,8.198
130,-53.197,6.143,-0.069,-50.276,0.256,0.565,16179.000,17582.160,17379.000,6.603,-60,0,-10,6.602,13.515
131,45.149,-44.425,-45.219,45.447,-42.138,-51.251,11239.000,9641.199,10039.000,6.458,40,-50,-50,6.458,8.969
132,9.706,41.831,-15.033,31.713,59.871,98.114,15105.000,17972.779,28338.000,116.670,0,40,-20,116.670,11.056
133,64.096,8.926,-78.267,68.109,3.800,-85.026,7791.000,9360.238,6591.000,9.385,60,0,-80,9.384,9.973
134,92.625,30.093,-64.763,84.248,-1.398,59.550,9084.000,9163.022,23363.000,128.513,90,30,-70,128.513,5.859
135,-63.998,38.879,-47.283,-62.787,44.164,-54.631,11468.000,10289.899,10298.000,9.132,-70,30,-50,9.132,11.056
136,0.285,17.599,-51.392,21.598,12.842,-45.428,10215.000,9842.969,11417.000,22.637,0,10,-60,22.637,11.486
137,-13.574,24.806,-37.553,-11.125,59.644,-69.879,12643.000,13681.250,9133.000,47.589,-20,20,-40,47.588,8.389
138,-12.444,-28.634,-42.372,-14.792,-38.116,-58.922,11293.000,9677.513,10063.000,19.217,-20,-30,-50,19.218,10.823
139,-75.489,-29.625,-54.538,-78.510,-34.007,-53.449,10087.000,10313.983,10057.000,5.432,-80,-30,-60,5.433,7.094
140,33.612,-5.181,-56.165,39.247,-16.079,-88.414,10158.000,10023.637,6528.000,34.504,30,-10,-60,34.504,7.140
141,37.898,3.900,-9.494,42.916,0.116,-3.700,16188.000,13789.396,16189.000,8.547,30,0,-10,8.548,8.823
142,1.397,-45.468,-24.673,-2.158,-48.360,-18.322,13635.000,14141.187,14834.000,7.832,0,-50,-30,7.832,7.132
143,-12.217,11.294,-2.779,-10.557,10.002,4.712,16213.000,15213.461,17413.000,7.781,-20,10,-10,7.781,10.695
144,86.678,47.570,-0.026,94.536,-2.496,75.012,16313.000,20592.043,25764.000,90.549,80,40,-10,90.549,14.191
145,34.057,-33.640,-35.883,39.570,-29.953,-28.603,12468.000,12676.757,13698.000,9.848,30,-40,-40,9.848,8.594
146,68.726,-1.073,-16.725,70.167,2.942,-21.729,14961.000,14948.472,13792.000,6.575,60,-10,-20,6.575,12.906
147,83.549,-42.820,-73.014,150.946,-36.952,-16.353,7643.000,8938.515,14880.000,88.246,80,-50,-80,88.245,10.628
148,5.489,46.894,-16.504,4.833,43.205,-8.968,15105.000,14829.371,16305.000,8.417,0,40,-20,8.416,9.480
149,55.736,-36.075,-33.036,58.066,-44.826,-46.399,12470.000,11651.904,11240.000,16.142,50,-40,-40,16.142,9.839
150,85.136,-35.836,-12.430,84.691,-43.788,-12.729,14873.000,14021.833,14843.000,7.970,80,-40,-20,7.970,10.051
151,-21.280,14.810,-19.255,-18.994,15.607,-15.872,15012.000,14229.731,15013.000,4.160,-30,10,-20,4.160,9.986
152,93.343,-19.042,-16.773,91.131,-12.344,-21.622,14934.000,14027.854,13734.000,8.561,90,-20,-20,8.560,4.744
153,20.991,-42.462,-9.724,23.198,-44.405,-8.186,16037.000,14766.530,16037.000,3.319,20,-50,-10,3.318,7.608
154,-33.442,-6.038,-73.104,-31.001,-6.766,-76.763,7751.000,9918.668,7751.000,4.459,-40,-10,-80,4.458,10.308
155,52.177,-34.477,-5.578,86.086,-64.210,0.455,16070.000,15622.197,17183.000,45.500,50,-40,-10,45.500,7.402
156,82.860,-24.914,-53.990,88.443,-26.931,-42.298,10103.000,11135.836,11303.000,13.113,80,-30,-60,13.113,8.377
157,32.050,-30.383,-23.645,31.750,-33.126,-30.244,13668.000,13400.331,12468.000,7.153,30,-40,-30,7.153,11.708
158,83.187,3.159,-15.346,89.917,-12.402,-17.862,14993.000,15360.831,14933.000,17.140,80,0,-20,17.140,6.465
159,49.787,33.652,-14.752,51.954,25.254,-23.281,15079.000,12150.246,13850.000,12.165,40,30,-20,12.164,11.690
160,-52.463,-11.815,-20.229,-44.558,-11.222,-16.835,13719.000,14395.528,14920.000,8.623,-60,-20,-30,8.623,14.808
161,-1.926,41.071,-57.846,-3.849,45.816,-51.931,10304.000,12169.863,10304.000,7.823,-10,40,-60,7.823,8.425
162,10.774,-33.693,-9.866,4.038,-28.312,-27.059,16066.000,14655.580,13695.000,19.234,10,-40,-10,19.234,6.356
163,-30.273,25.970,-26.337,-143.796,170.462,38.950,13841.000,10603.250,21481.000,195.008,-40,20,-30,195.007,11.986
164,3.587,23.120,-74.669,-2.123,31.786,-60.203,7845.000,8482.753,9074.000,17.803,0,20,-80,17.804,7.143
165,-14.931,-25.512,-64.197,46.590,-33.986,-90.700,8893.000,9565.698,5269.000,67.520,-20,-30,-70,67.521,8.917
166,93.913,-14.602,-48.376,139.426,-18.259,-48.515,11334.000,10736.312,11338.000,45.660,90,-20,-50,45.660,6.862
167,-75.347,6.684,-16.645,-81.480,6.391,-17.659,14977.000,14278.462,14976.000,6.223,-80,0,-20,6.223,8.808
168,64.661,-22.453,-45.014,73.855,-21.790,-32.536,11301.000,12733.974,12502.000,15.513,60,-30,-50,15.514,10.176
169,-38.960,1.189,-65.626,-40.841,-4.737,-75.269,8981.000,8808.287,7750.000,11.473,-40,0,-70,11.474,4.651
170,16.852,-13.435,-9.198,25.325,-17.786,3.201,16126.000,14426.650,17327.000,15.635,10,-20,-10,15.635,9.523
171,61.749,8.780,-4.402,56.013,8.943,13.242,16191.000,15460.397,18590.000,18.553,60,0,-10,18.554,10.559
172,-42.089,-44.007,-5.517,-60.282,-45.794,59.477,16030.000,16235.435,23228.000,67.516,-50,-50,-10,67.516,10.890
173,-34.042,-12.143,-19.339,-33.764,-6.258,-27.051,14921.000,15211.228,13751.000,9.705,-40,-20,-20,9.705,9.883
174,-39.494,-23.163,-10.550,-52.368,197.998,121.503,14891.000,14346.947,32349.000,257.907,-40,-30,-20,257.907,11.675
175,72.455,47.067,-7.359,54.332,56.240,-18.663,16312.000,12557.432,15140.000,23.246,70,40,-10,23.246,7.934
176,-0.521,31.609,-36.262,17.581,19.350,-140.879,12674.000,13443.123,616.000,106.877,-10,30,-40,106.877,10.316
177,31.332,29.299,-42.602,28.589,23.587,-45.447,11448.000,11593.237,11447.000,6.946,30,20,-50,6.946,11.957
178,90.331,30.416,-38.215,134.526,10.773,28.491,12684.000,13063.185,19828.000,82.394,90,30,-40,82.394,1.862
179,0.174,22.953,-45.794,-0.752,20.436,-44.774,11445.000,10204.057,11444.000,2.869,0,20,-50,2.869,5.142
180,-74.515,47.364,-16.272,-95.304,27.150,-23.849,15097.000,14593.350,13835.000,29.970,-80,40,-20,29.970,9.910
181,-27.110,-48.490,-27.907,-24.493,-54.748,-33.706,13632.000,13032.948,12402.000,8.924,-30,-50,-30,8.924,3.875
182,31.184,-45.996,-24.938,59.670,-97.874,-24.741,13638.000,14999.880,13490.000,59.184,30,-50,-30,59.185,6.562
183,-69.869,9.751,-65.522,-75.983,3.521,-54.039,8978.000,8645.695,10177.000,14.424,-70,0,-70,14.424,10.731
184,-77.615,-13.508,-6.617,-81.457,-13.200,-4.431,16117.000,14874.136,16116.000,4.431,-80,-20,-10,4.431,7.699
185,92.034,-36.521,-20.069,97.718,-41.552,-19.605,13674.000,14031.647,14844.000,7.604,90,-40,-30,7.605,10.718
186,-82.694,-49.721,-48.359,-134.894,-72.347,35.485,11226.000,11432.231,20731.000,101.324,-90,-50,-50,101.324,7.493
187,-64.645,-30.061,-51.907,-71.035,-25.481,-59.012,10058.000,9983.234,10087.000,10.597,-70,-40,-60,10.597,13.891
188,-95.920,0.524,-5.382,-127.254,-26.499,30.804,16175.000,16157.665,20882.000,54.969,-100,0,-10,54.968,6.184
189,59.151,35.441,-25.106,62.057,35.778,-43.680,13880.000,13202.187,11481.000,18.803,50,30,-30,18.803,11.717
190,-43.609,26.125,-53.558,-49.956,27.744,-37.952,10240.000,11007.532,12640.000,16.925,-50,20,-60,16.925,10.948
191,-83.283,-25.096,-7.418,-69.915,-37.492,-47.578,16086.000,15669.425,11258.000,44.104,-90,-30,-10,44.104,8.708
192,67.218,-0.575,-65.719,83.827,0.291,-52.456,8961.000,10829.977,10193.000,21.272,60,-10,-70,21.272,12.620
193,-87.887,40.293,-23.436,-94.320,41.602,-27.671,13896.000,12065.039,13895.000,7.812,-90,40,-30,7.812,6.902
194,-55.759,-33.067,-24.137,-56.888,-31.575,-24.701,13659.000,14601.113,13659.000,1.954,-60,-40,-30,1.954,10.021
195,-76.660,31.212,-40.999,-93.233,28.123,-33.712,11467.000,11255.569,12635.000,18.365,-80,30,-50,18.366,9.677
196,46.154,-27.212,-21.255,49.145,-28.834,-18.273,13699.000,15963.479,14899.000,4.524,40,-30,-30,4.524,11.051
197,-31.260,-10.488,-41.885,-30.383,-7.873,-42.733,11321.000,11683.211,11351.000,2.886,-40,-20,-50,2.886,15.255
198,-22.851,-31.737,-26.867,-33.280,-44.590,-32.542,13662.000,12984.514,12431.000,17.498,-30,-40,-30,17.498,11.367
199,-27.158,-42.396,-73.872,-51.237,-31.513,-86.587,7632.000,8664.584,6459.000,29.325,-30,-50,-80,29.324,10.171
200,-29.061,-29.012,-60.439,-11.697,-28.185,-62.981,8892.000,8742.616,8893.000,17.568,-30,-30,-70,17.569,9.658
201,-80.593,-18.200,-40.542,-74.189,-12.547,-26.836,11316.000,12357.180,13717.000,16.150,-90,-20,-50,16.150,13.461
202,53.153,-33.450,-21.926,58.392,-41.255,-27.539,13670.000,13836.083,13640.000,10.948,50,-40,-30,10.949,10.864
203,0.928,7.926,-39.976,3.067,1.499,-26.285,12585.000,13424.147,13785.000,15.274,0,0,-40,15.275,7.980
204,-35.609,-32.276,-17.890,-30.771,-35.536,-15.618,14861.000,14552.601,14861.000,6.261,-40,-40,-20,6.261,9.132
205,-7.457,17.670,-1.272,-9.088,21.529,-4.092,16214.000,17069.701,16244.000,5.050,-10,10,-10,5.050,11.894
206,-18.951,-22.728,-5.162,-18.848,-14.078,-14.918,16093.000,16076.767,14923.000,13.039,-20,-30,-10,13.039,8.797
207,-64.009,12.698,-53.833,-28.887,39.131,-145.886,10208.000,10026.336,672.000,102.010,-70,10,-60,102.010,9.011
208,91.382,12.814,-72.391,101.847,13.112,-103.701,7824.000,7064.123,4225.000,33.014,90,10,-80,33.014,8.230
209,36.340,46.757,-51.630,96.883,198.000,-85.310,10308.000,12802.635,7164.000,166.356,30,40,-60,166.356,12.486
210,-45.657,26.326,-17.493,-52.367,31.094,-33.608,15040.000,14439.210,12669.000,18.095,-50,20,-20,18.096,8.072
211,-79.688,-47.448,-28.610,-111.659,-64.967,-3.198,13627.000,12280.645,15963.000,44.439,-80,-50,-30,44.439,2.923
